link,terms,date
https://t.me/TrixTMchat,"[""logs""]",2024-01-27T20:47:24.000Z
https://t.me/memologACH,"[""cc"",""logs""]",2024-01-27T20:10:24.000Z
https://t.me/achddbillpay,"[""cc"",""logs""]",2024-01-27T20:10:24.000Z
https://t.me/malborovouched,"[""food"",""airbnb""]",2024-01-27T20:06:36.000Z
https://t.me/quantum_rdp,"[""rdp""]",2024-01-27T19:59:01.000Z
https://t.me/quantumrdp,"[""rdp""]",2024-01-27T19:59:01.000Z
https://t.me/+gG703G3VFno3NjRl,"[""refunds"",""uber"",""doordash"",""food"",""rental"",""airbnb""]",2024-01-27T19:09:15.000Z
https://t.me/+pEyiVXOOgDMwNjQ9,"[""rdp"",""cc"",""logs""]",2024-01-27T18:32:28.000Z
https://t.me/ftid_bz,"[""ftid"",""refund"",""scans""]",2024-01-27T18:21:36.000Z
https://t.me/+PEMeqZXx9V5jNzA7,"[""meal""]",2024-01-27T17:09:35.000Z
https://t.me/+0haleuXwQYBiMzZj,"[""meal""]",2024-01-27T17:09:13.000Z
https://t.me/FtidBZsupport,"[""refund"",""ftid"",""scans""]",2024-01-27T17:01:26.000Z
https://t.me/ftid_bz_backup,"[""refund"",""ftid"",""scans""]",2024-01-27T17:01:26.000Z
https://t.me/+dz3pczVgrHVjNjI0,"[""doordash""]",2024-01-27T16:47:37.000Z
https://t.me/reachdee,"[""logs""]",2024-01-27T16:32:18.000Z
https://t.me/TheeShadeRoom,"[""refunds"",""ftid"",""refund""]",2024-01-27T16:02:11.000Z
https://t.me/approved_bin,"[""bin"",""cc""]",2024-01-27T11:00:04.000Z
https://t.me/paypal_shoppp,"[""bin"",""fullz""]",2024-01-27T10:35:47.000Z
https://t.me/legendarysauce,"[""refund""]",2024-01-27T10:14:16.000Z
https://t.me/diamondservergc,"[""rdp""]",2024-01-27T00:58:02.000Z
https://t.me/GCX_Market,"[""cc""]",2024-01-26T22:56:54.000Z
https://t.me/GCX_StockinHand,"[""cc""]",2024-01-26T22:56:54.000Z
https://t.me/aiocrimeverified,"[""uber""]",2024-01-22T21:45:27.000Z
https://t.me/ZeddsMarket,"[""flights"",""airbnb"",""rental""]",2024-01-22T18:49:34.000Z
https://t.me/+JkPxFOILgkJkYWJl,"[""flights"",""airbnb"",""food""]",2024-01-22T15:46:15.000Z
